,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
453,53566,HASINDICATOR,23680,30219,ind_4de6cae10aad3,,,
454,46161,ASSERTS,23680,25666,,,,
455,42494,ASSERTS,23680,25127,,,,
456,42493,ASSERTS,23680,25296,,,,
457,42481,ASSERTS,23680,25375,,,,
458,42476,ASSERTS,23680,25094,,,,
459,41203,HASCONTRAST,23680,26459,,,,
460,41202,HASCONTRAST,23680,26458,,,,
461,40729,HASCONTRAST,23680,25984,,,,
462,40728,HASCONTRAST,23680,25983,,,,
463,40727,HASCONTRAST,23680,25982,,,,
464,40726,HASCONTRAST,23680,25981,,,,
465,40040,HASCONDITION,23680,24463,,,,
466,40039,HASCONDITION,23680,24462,,,,
467,69930,HASCITATION,23681,30573,,,,
468,69929,HASCITATION,23681,30572,,,,
469,69928,HASCITATION,23681,30571,,,,
470,53572,HASINDICATOR,23681,30089,ind_4de7ce2db2afa,,,
471,69932,HASCITATION,23682,30575,,,,
472,69931,HASCITATION,23682,30574,,,,
473,53573,HASINDICATOR,23682,30089,ind_4de7d06372fb8,,,
474,42623,ASSERTS,23682,25567,,,,
475,42618,ASSERTS,23682,25515,,,,
476,42614,KINDOF,23682,23759,,,,
477,40747,HASCONTRAST,23682,26002,,,,
478,40746,HASCONTRAST,23682,26001,,,,
479,40745,HASCONTRAST,23682,26000,,,,
480,69937,HASCITATION,23683,30579,,,,
481,69936,HASCITATION,23683,30578,,,,
482,69935,HASCITATION,23683,30577,,,,
483,53578,HASINDICATOR,23683,30178,ind_4de7de15a5bbd,,,
484,53577,HASINDICATOR,23683,30206,ind_4de7dd5fd8dd8,,,
485,53576,HASINDICATOR,23683,30092,ind_4de7dd1023db4,,,
486,42655,ASSERTS,23683,25202,,,,
487,42646,ASSERTS,23683,25488,,,,
488,40754,HASCONTRAST,23683,26009,,,,
489,40753,HASCONTRAST,23683,26008,,,,
490,40752,HASCONTRAST,23683,26007,,,,
491,40751,HASCONTRAST,23683,26006,,,,
492,40055,HASCONDITION,23683,24478,,,,
493,40054,HASCONDITION,23683,24477,,,,
494,69939,HASCITATION,23684,30581,,,,
495,69938,HASCITATION,23684,30580,,,,
496,53580,HASINDICATOR,23684,30127,ind_4de7e4e8afa8e,,,
497,53579,HASINDICATOR,23684,30128,ind_4de7e4dbe44f4,,,
498,42697,ASSERTS,23684,25417,,,,
499,42688,ASSERTS,23684,25208,,,,
500,42683,ASSERTS,23684,25169,,,,
501,42674,ASSERTS,23684,25330,,,,
502,42665,ASSERTS,23684,25329,,,,
503,42660,ASSERTS,23684,25183,,,,
504,40756,HASCONTRAST,23684,26011,,,,
505,40755,HASCONTRAST,23684,26010,,,,
506,40057,HASCONDITION,23684,24480,,,,
507,40056,HASCONDITION,23684,24479,,,,
508,53584,HASINDICATOR,23685,30089,ind_4de939c460574,,,
509,50444,ASSERTS,23685,25596,,,,
510,42802,ASSERTS,23685,25063,,,,
511,42797,ASSERTS,23685,25106,,,,
512,40764,HASCONTRAST,23685,26019,,,,
513,69955,HASCITATION,23686,30597,,,,
514,69954,HASCITATION,23686,30596,,,,
515,69953,HASCITATION,23686,30595,,,,
516,53588,HASINDICATOR,23686,30269,ind_4de9489b99ca1,,,
517,53587,HASINDICATOR,23686,30211,ind_4de9487812688,,,
518,53586,HASINDICATOR,23686,30187,ind_4de9486fd8d51,,,
519,51110,INBATTERY,23686,29790,,,,
520,51100,INBATTERY,23686,29789,,,,
521,42855,ASSERTS,23686,25505,,,,
522,42850,ASSERTS,23686,25349,,,,
523,40769,HASCONTRAST,23686,26024,,,,
524,69957,HASCITATION,23687,30599,,,,
525,69956,HASCITATION,23687,30598,,,,
526,53590,HASINDICATOR,23687,30313,ind_4de95e0b33f91,,,
527,53589,HASINDICATOR,23687,30315,ind_4de95d49d5a3f,,,
528,50145,ASSERTS,23687,25843,,,,
529,42865,ASSERTS,23687,25441,,,,
530,42860,ASSERTS,23687,25596,,,,
531,42060,HASCONTRAST,23687,27320,,,,
532,40771,HASCONTRAST,23687,26026,,,,
533,69965,HASCITATION,23688,30607,,,,
534,69964,HASCITATION,23688,30606,,,,
535,53594,HASINDICATOR,23688,30306,ind_4de9688f9b6b9,,,
